config_id,epoch,train_loss,val_loss,selection_score,train_roc_auc,val_roc_auc,train_pr_auc,val_pr_auc,train_brier_score,val_brier_score,train_f1,val_f1,learning_rate_now
0,1,0.37701380252838135,0.31635539054870604,0.8155947228090343,0.7521415577570901,0.8393960236710963,0.3467405739203463,0.4836488067244789,0.11439521849704956,0.09520520344824807,0.23136246786632392,0.1568627450980392,0.001
0,2,0.30672547906637193,0.30083314180374143,0.8300685174283868,0.8442870339111349,0.852860257475083,0.5010212111712458,0.5124505701054358,0.09249864204357122,0.09116696018678482,0.3112639724849527,0.26573426573426573,0.001
0,3,0.2854815527796745,0.29276777505874635,0.8351079395860609,0.8691097547844518,0.8572758772840532,0.5583253342467178,0.5238812065440188,0.08625433626099918,0.08867175079196915,0.40816326530612246,0.40625,0.001
0,4,0.2714344909787178,0.2881742525100708,0.8389849056080083,0.8835325320049643,0.8607765780730896,0.594304203834783,0.5391192624403893,0.08211825039256226,0.08716668986032537,0.4552238805970149,0.4633431085043988,0.001
0,5,0.2612834060192108,0.28799530029296877,0.8385038007009191,0.8936499300922361,0.860298030004153,0.6225448330351704,0.542186211314242,0.07899565691516765,0.08717691721293544,0.48840579710144927,0.4391691394658754,0.001
0,6,0.2528038039803505,0.29044511198997497,0.8362563725863785,0.9006656012512962,0.858232973421927,0.6465198472435504,0.5373845000006644,0.07627817697009026,0.0879064033421936,0.5216773276474769,0.48753462603878117,0.001
0,7,0.2470647242665291,0.2862965285778046,0.8426885003361263,0.9050383784313296,0.8643486555232558,0.6650941427002875,0.5449881834473688,0.07410489328809748,0.0866406207485181,0.5425158116654955,0.5013477088948787,0.001
0,8,0.23791076570749284,0.2915614688396454,0.8366546086751095,0.9144678306896297,0.8586190562707643,0.6820826791065242,0.5327110607667317,0.07140861150398585,0.08785779038261915,0.578167115902965,0.43243243243243246,0.001
0,9,0.2321433448791504,0.2997617757320404,0.8281843552532069,0.9196791367220992,0.8506800249169434,0.6958013312243683,0.5345704722908333,0.06993071003854405,0.0899826786549461,0.5714285714285714,0.4895833333333333,0.001
0,10,0.22484965473413468,0.29194812178611756,0.836458908416028,0.9234339972749331,0.858353015988372,0.7252368341786265,0.5464392258999493,0.06691276460163743,0.08757643028937612,0.6166328600405679,0.4876712328767123,0.001
0,11,0.21806660234928132,0.2895223307609558,0.8404952558011038,0.9295427295520803,0.8621294902408638,0.739638347477725,0.5612816887281107,0.06496739682992417,0.08653693775903984,0.6208754208754209,0.5121293800539084,0.001
0,12,0.21494992047548295,0.29898991107940676,0.8331143849663089,0.9314128735531683,0.8554590168189369,0.7466624848318829,0.5427501973560027,0.06394369655919432,0.0893785274105121,0.6312292358803987,0.5025906735751295,0.0005
0,13,0.2011856484413147,0.29271282196044923,0.8378898085348476,0.9422348139854387,0.8595858855897011,0.783998470609299,0.55624452398422,0.059547871886395994,0.08678430821941376,0.6627450980392157,0.4887640449438202,0.0005
0,14,0.19616325408220292,0.295990514755249,0.8348774716644279,0.9461649499392405,0.8568735724667773,0.7945458041192043,0.5547345078647093,0.05775011816967138,0.08798440320939754,0.6755142667551427,0.5026455026455027,0.0005
0,15,0.19498586177825927,0.2989530062675476,0.8350560811175268,0.9466001024936063,0.8572077450166113,0.7970882176613951,0.5482055317774744,0.05747602440856728,0.08860665559633803,0.6797642436149313,0.5284974093264249,0.0005
0,16,0.19094549342989922,0.3002262854576111,0.8318618399335421,0.949389733961896,0.8538530419435217,0.8048563510170577,0.5465124154872621,0.05595617479318253,0.0879648080399186,0.6881859264041317,0.45294117647058824,0.0005
0,17,0.1868838433921337,0.29727739095687866,0.8362599474464675,0.9519654322906674,0.858187551910299,0.8134663077928831,0.547474595927658,0.05485398560866975,0.08771041785532628,0.6881578947368421,0.4860335195530726,0.00025
0,18,0.1774414823949337,0.2991438543796539,0.8356620490821467,0.9582358794008092,0.8577236036129567,0.8399125717955549,0.5505700571511927,0.05137527832930756,0.08824621812324022,0.7242960052390308,0.5026455026455027,0.00025
0,19,0.1754510582983494,0.29911683320999144,0.8345456770096232,0.9585890613577246,0.856523177948505,0.8405142516404928,0.5475443249438076,0.05046886148390142,0.0879100037555271,0.7405991077119184,0.48501362397820164,0.00025
1,1,0.6387963479757309,0.566331729888916,0.7941461541180361,0.7458746525863443,0.8231513444767441,0.326575185585195,0.4286274361611363,0.1405634720657631,0.11602076143483185,0.3357142857142857,0.43317972350230416,0.0005
1,2,0.5476931315660477,0.5306506752967834,0.8183506721068997,0.8352662202608648,0.845868589078073,0.46906317518445656,0.4833236622726593,0.11152249978505566,0.11007166788469343,0.4762443438914027,0.5084745762711864,0.0005
1,3,0.50833935379982,0.5140830779075622,0.827535968905793,0.8596074397728625,0.8532982506229235,0.5283066218172731,0.5007668975719035,0.10487234111966727,0.10304912686852248,0.5381026438569206,0.519650655021834,0.0005
1,4,0.48083208084106444,0.5065537047386169,0.8293802092549206,0.8776557461591209,0.8554168397009968,0.5575317565986577,0.5097154231784304,0.09813489930763561,0.10414652178430465,0.5612033195020747,0.5183673469387755,0.0005
1,5,0.4685863131284714,0.501362898349762,0.8315297590507774,0.881833210681032,0.8576522269518273,0.5734882224217593,0.5159785172763744,0.09558548115428436,0.10448987160419967,0.5666156202143952,0.5208747514910537,0.0005
1,6,0.45316901326179504,0.5021925497055054,0.831283988106951,0.8899535621385704,0.8565977990033222,0.599556624482853,0.5220074007384508,0.09443448215977243,0.1012552435854846,0.5880019831432821,0.5126050420168067,0.0005
1,7,0.4427966296672821,0.5008716368675232,0.8322142756391105,0.8959853837316902,0.8574510745431894,0.6062415748405592,0.5255292188226901,0.09184953746913649,0.10094719561631534,0.5992023928215354,0.5104602510460251,0.0005
1,8,0.42933322191238404,0.5005412006378174,0.8324812692392823,0.9027403681512048,0.8583724823504985,0.6397403913867588,0.5233374687822033,0.08817340467409976,0.10356485244486426,0.6040938592111832,0.5298804780876494,0.0005
1,9,0.42480278432369234,0.5012604212760925,0.8322505380843083,0.9046991618354613,0.8580512873754154,0.6356846680193381,0.5227198838048431,0.08687602746094981,0.10320299716442832,0.6078132927447996,0.5109780439121756,0.0005
1,10,0.40983445703983307,0.5008788514137268,0.8337209073386955,0.9124916309031986,0.8587553208056476,0.6648078516724494,0.5331079836647384,0.08513368151168405,0.10013765386780868,0.6353646353646354,0.5178947368421053,0.0005
1,11,0.4027469277381897,0.5081411027908325,0.8282430713515906,0.9156973896513841,0.8538984634551494,0.6842480621967724,0.5253346749539305,0.08159921907183687,0.10262156841423514,0.630401626842908,0.5072164948453608,0.0005
1,12,0.3947687339782715,0.5030067014694214,0.8325307773080172,0.9197380341143411,0.8581194196428572,0.6793007800249191,0.5325959921449139,0.08125333777659816,0.10235456933936032,0.6413586413586414,0.5247933884297521,0.0005
1,13,0.38228743612766264,0.5042997837066651,0.8338903646187992,0.9249675558351326,0.858664477782392,0.6928943579962048,0.5400012778305641,0.07945890312218312,0.09909645265437099,0.645193260654113,0.5128205128205128,0.0005
1,14,0.3776130476593971,0.5122747349739075,0.8316888666666296,0.9270904931108267,0.8563479806893689,0.7096726682176695,0.5320227331768994,0.07728290832182755,0.0986364560909572,0.6659939455095862,0.521551724137931,0.0005
1,15,0.375488363802433,0.507792956829071,0.8339215556454547,0.9276988971007911,0.8591024709302325,0.7148608779344061,0.5348887462731947,0.07630000894050866,0.10072366113911121,0.6574783052577846,0.5146443514644351,0.0005
1,16,0.3659415611624718,0.5171335244178772,0.8288002282500808,0.9317860927672382,0.8540444611710964,0.7204983760766276,0.5232439395491614,0.0750618666995999,0.10097693168406265,0.6632911392405063,0.5074626865671642,0.0005
1,17,0.36428734540939334,0.5083011198043823,0.8360621545851775,0.932679673477715,0.8605819144518272,0.7180570597055858,0.5344670293734735,0.07503784394136698,0.09807903946659872,0.6703517587939698,0.5136842105263157,0.0005
1,18,0.3559859749674797,0.5113892102241516,0.8337654784615701,0.9357791740440204,0.8583562603820599,0.7345374756159505,0.5320396578189767,0.07343769037285715,0.09836312768195934,0.6813848469643753,0.5170940170940171,0.0005
1,19,0.3445515596866608,0.5151821446418762,0.832918874199561,0.9415976696872326,0.8575678727159469,0.7468953741316892,0.5281238717403112,0.06945288183771332,0.09859599406554376,0.6932515337423313,0.5107296137339056,0.0005
1,20,0.3409860309958458,0.5142166805267334,0.8348567825440245,0.9414924234880371,0.8593782443936877,0.755794258475821,0.5257295224874632,0.07074897084600953,0.0980858473986526,0.6928429423459245,0.5236051502145923,0.0005
1,21,0.3375113606452942,0.5307250905036927,0.8231542087958842,0.9440709553683253,0.8500441237541528,0.7481451532112628,0.5182159820876107,0.06754606263571088,0.10755965983307463,0.6937077483099324,0.5,0.0005
1,22,0.33462081104516983,0.5149929404258728,0.8337353471626866,0.9444577351503685,0.8592614462209303,0.7494679975230353,0.536006116415798,0.06949717330887774,0.10210439623297471,0.7020530796194292,0.5194274028629857,0.00025
1,23,0.31296905398368835,0.5213196563720703,0.8331331767704598,0.9533933398585978,0.8577625363372094,0.7933701706633959,0.5325780540487814,0.06421721577796978,0.0985174382669985,0.7208374875373879,0.5183585313174947,0.00025
1,24,0.3108885070681572,0.5263598179817199,0.8312842102252045,0.9541365399421468,0.855945675872093,0.7955982422716606,0.5281765653417727,0.06308049597233183,0.09864586258755416,0.7247845919918905,0.5075921908893709,0.00025
1,25,0.30757568091154097,0.5234614181518554,0.8323805990042875,0.9554899655844928,0.8574186306063123,0.7896543192156964,0.5276283251699443,0.06189295350915728,0.1001521264080992,0.7253086419753086,0.5170940170940171,0.00025
1,26,0.3079895359277725,0.5249870538711547,0.8319141091613579,0.9553090230804915,0.8569903706395349,0.7897728075551168,0.5249786655972601,0.062335325286800726,0.10030504591270789,0.7338422391857506,0.5358649789029536,0.00025
1,27,0.3053191041946411,0.5293332076072693,0.8299223010095824,0.9558265510253813,0.8552643531976746,0.7978197855175885,0.5263600702025601,0.06156279841057241,0.10136820875236859,0.7298530157121136,0.5189873417721519,0.000125
1,28,0.2948358178138733,0.5292873978614807,0.8314210239616386,0.9598985669515601,0.8561468282807309,0.8127354204468267,0.5277055183176645,0.05987644006733456,0.09890321727636886,0.7519025875190258,0.5173913043478261,0.000125
1,29,0.29156052380800246,0.5294729495048522,0.8319653327487262,0.961117398896858,0.8567308191445183,0.8233637527901801,0.5281223961897762,0.058048584492769464,0.09906194558316833,0.7542503863987635,0.5172413793103449,0.000125
2,1,0.6645633941888809,0.5650453162193299,0.8042801063548859,0.7149046428955983,0.8339778862126246,0.29019654814279516,0.4579419491238871,0.14977016141338959,0.11879111943095494,0.31968145620022753,0.4777327935222672,0.001
2,2,0.5552790153026581,0.5212435078620911,0.8277327733392091,0.8240722749937459,0.8543137458471761,0.43740899214964074,0.51378370247945,0.11455387021118536,0.10632389003186789,0.4937888198757764,0.512621359223301,0.001
2,3,0.5115816819667817,0.504914333820343,0.8365129054916616,0.8528142024078711,0.8616201204318936,0.48862240277236785,0.5132106271844454,0.10568230177224684,0.10042885976092823,0.5314009661835749,0.5354969574036511,0.001
2,4,0.4851508772373199,0.4978662061691284,0.8368074556298751,0.8691207853957136,0.8626485932308969,0.5418769450583164,0.5281981650887758,0.10013787224527998,0.103364550404087,0.5588377723970944,0.5283018867924528,0.001
2,5,0.4677687984704971,0.5022733759880066,0.8354174719584687,0.878390040795046,0.8631320078903654,0.5549599319825759,0.5382293993448091,0.09723050000469265,0.11085814372758641,0.5779467680608364,0.537261698440208,0.001
2,6,0.45035465121269225,0.505908818244934,0.834511213275965,0.8871631210841331,0.8599460132890365,0.5805944092817436,0.537152510041567,0.09334691899581038,0.10173920005228626,0.6034889203206035,0.5458015267175572,0.001
2,7,0.432390216588974,0.5127145648002625,0.833787067208579,0.8979796980081751,0.8592874013704319,0.5994529915763617,0.5484041806790175,0.08735639523665481,0.10200133664741169,0.6159102000976086,0.5267326732673268,0.001
2,8,0.42017177820205687,0.516621515750885,0.8349095710272947,0.903483973027828,0.8601017441860466,0.6270249999782938,0.5382037804212776,0.08613621308431028,0.10076869263500761,0.6273764258555133,0.5327868852459017,0.001
2,9,0.3972294837236404,0.5250979471206665,0.8269431415874602,0.9143168428730917,0.8544889431063123,0.6509588509681743,0.5290373258729201,0.08187579683508842,0.11018320607540823,0.6484674329501916,0.5186567164179104,0.0005
2,10,0.3807429599761963,0.5322507214546204,0.8318805737458971,0.9224881982579327,0.8570065926079734,0.6838348148444925,0.5388389461642924,0.07862463591258843,0.10050407544830552,0.6606291706387035,0.5446985446985447,0.0005
2,11,0.3693671810626984,0.5332472372055054,0.8345517413319403,0.9264343235381506,0.8597221501245847,0.6915152130659904,0.5377191173304628,0.07506336170386602,0.1006816351705777,0.6689520078354554,0.5157232704402516,0.0005
2,12,0.3635883855819702,0.545027322769165,0.8305197418395418,0.9280162548706726,0.856234426910299,0.6952686493572134,0.5302208624299227,0.07449041283433189,0.10285874028302917,0.6750120365912373,0.5319587628865979,0.0005
2,13,0.3465586665272713,0.5396416187286377,0.8361096493241171,0.934318275840573,0.8611496833471761,0.7123887434680061,0.5427253608615465,0.07083865884451601,0.10016013609223608,0.6950629235237173,0.5276595744680851,0.0005
2,14,0.3460757026076317,0.5452363610267639,0.8363728346242115,0.9344259507982116,0.8621684229651163,0.7174916568993953,0.5410636999215339,0.06900165370749525,0.10318235336361922,0.6946225949679329,0.5186721991701245,0.00025
2,15,0.3239862722158432,0.5579523706436157,0.8329680383606363,0.9432563093072452,0.8585671459717608,0.7328026868561104,0.5416210408374258,0.06594897011785679,0.10239643044449778,0.713170731707317,0.5219206680584552,0.00025
2,16,0.31762195318937303,0.5619582843780517,0.833640868852992,0.9462185850215229,0.8591446480481727,0.7552300593282799,0.5458752831734718,0.063988214251977,0.10201511678072253,0.7236131566028473,0.5031982942430704,0.00025
3,1,0.6974463826417923,0.596274061203003,0.7930486438524026,0.6596210408201432,0.8216037686877076,0.2268021961536264,0.41222912388306737,0.16016730353197975,0.11422049934121979,0.2332928311057108,0.336283185840708,0.0005
3,2,0.6118070185184479,0.5465535163879395,0.8130457631764149,0.7698093586539496,0.8404504516196014,0.3819111064850363,0.45363563583806743,0.12665132399194784,0.10961875377274616,0.39257929383602636,0.49344978165938863,0.0005
3,3,0.5710875761508941,0.5227770495414734,0.8235396227461271,0.8055234419716983,0.8494601328903655,0.44060902575237687,0.48706894694664904,0.11811935514985912,0.10368204057695354,0.4724576271186441,0.5344827586206896,0.0005
3,4,0.5352553474903107,0.5094185328483581,0.8292821878950922,0.836569249165519,0.8543624117524916,0.4832984008676091,0.5132377493101847,0.10972104861227605,0.10032089542959738,0.5098855359001041,0.5352697095435685,0.0005
3,5,0.5074801981449127,0.5027266025543213,0.8341714390209207,0.8565971960793362,0.8593490448504983,0.5029940434971805,0.5218293078681683,0.10387796271647254,0.10071042331831062,0.5279343926191696,0.5296442687747036,0.0005
3,6,0.5036398512125015,0.5021008372306823,0.8334185553620562,0.8572230061714752,0.8584016818936876,0.5124452866542795,0.5230765691161787,0.10372679495315452,0.09993250612652542,0.5345849802371542,0.5531062124248497,0.0005
3,7,0.4855437213182449,0.5034125399589539,0.8324622193152817,0.8698238097666855,0.8597351276993356,0.5218202163083098,0.531690033788179,0.10108252509517338,0.10909163353621512,0.5573294629898403,0.5242369838420108,0.0005
3,8,0.46560589015483855,0.4931576704978943,0.8390875953585081,0.8821392342448464,0.8641961690199335,0.5550140927373962,0.5393904212439653,0.09797156039188452,0.10043429464570135,0.5640544345377757,0.5603112840466926,0.0005
3,9,0.4628647422790527,0.492784321308136,0.8385082082495536,0.8817829151416088,0.8646503841362125,0.5689688969476528,0.5360783594433702,0.09289287067943931,0.10456870354663547,0.5875370919881305,0.5427509293680297,0.0005
3,10,0.4513834673166275,0.49821985721588136,0.8394143431264641,0.8882619318830408,0.8647931374584719,0.5864159901554065,0.538083027198634,0.0944827633461565,0.10151517732803081,0.5923476617855455,0.538899430740038,0.0005
3,11,0.4476598024368286,0.5006330060958862,0.837034598736717,0.889500598688956,0.8638263081395349,0.5798077011928403,0.5496890794482197,0.09267382645554716,0.10716683761127144,0.5966265060240964,0.5412186379928315,0.0005
3,12,0.432983301281929,0.504454607963562,0.8365761310619749,0.897981215982202,0.86168176391196,0.61249709007371,0.5392729955796597,0.08870936073453597,0.10042253139994038,0.6090775988286969,0.5447316103379721,0.0005
3,13,0.4282976102828979,0.5015588021278381,0.8406256828046872,0.8993753233284678,0.8655750363372093,0.6183274835553572,0.5574217416088855,0.08800238688305012,0.09979741413008879,0.6160583941605839,0.5461689587426326,0.0005
3,14,0.4096068054437637,0.5157810544967651,0.8346906974771195,0.9099863665692735,0.8593912219684385,0.6277388843888101,0.5397081662293289,0.08452816752233422,0.09880209796527607,0.6322393822393823,0.5354969574036511,0.0005
3,15,0.41272216975688936,0.5119283413887024,0.83742969737171,0.9081838230115147,0.8622560215946844,0.6244408901772754,0.5449269171729526,0.08428348958378518,0.09930529689189756,0.6321446018563752,0.5465587044534413,0.0005
3,16,0.4059078359603882,0.5193891334533691,0.8365082458901199,0.9101677138663484,0.8608641767026578,0.6439554915774315,0.5447273452156303,0.08333674564715793,0.09742372325015168,0.6445406445406445,0.5294117647058824,0.0005
3,17,0.41130919933319093,0.5144202017784119,0.8365849378705696,0.9091808283523546,0.8615227886212626,0.6228462902885724,0.5458221737425168,0.0871862587021117,0.09975140300277215,0.6239924134660977,0.533066132264529,0.0005
3,18,0.4010400682687759,0.5079899477958679,0.8388689274424734,0.9135139358111528,0.8639495950996677,0.6499200056909193,0.5577638590288668,0.0838157731931838,0.100322670628777,0.6313276026743075,0.5511811023622047,0.00025
3,19,0.3750586774945259,0.5189295887947083,0.8387130749816335,0.9261608858167795,0.8633688486295682,0.6719919193196584,0.5586355738396755,0.07746515176663954,0.09862309459173861,0.6650625601539942,0.5548902195608783,0.00025
3,20,0.3765182235836983,0.52604172706604,0.8368618386129972,0.923146594192515,0.861250259551495,0.6752719149703131,0.551592613063516,0.07673208209602861,0.09755368375399137,0.666023166023166,0.5655737704918032,0.00025
3,21,0.3730207511782646,0.5286734700202942,0.837045182080749,0.9247291327146476,0.8616071428571429,0.6852998585919501,0.5497260763984738,0.0765090716473675,0.09824784310557585,0.6624758220502901,0.569672131147541,0.00025
3,22,0.36942782074213026,0.5247851037979125,0.8386224632341079,0.9274098748460774,0.8633753374169436,0.6913196822617916,0.5507839259288905,0.07709448796602338,0.09901149673134285,0.6582768635043562,0.5580448065173116,0.00025
3,23,0.3774209865927696,0.5298408627510071,0.8364210152645568,0.9228591911100965,0.8617109634551495,0.6923106967580137,0.550365023199681,0.07591017064959185,0.10115979276237073,0.6676499508357916,0.5418326693227091,0.000125
3,24,0.35501885175704956,0.5373800015449524,0.8343088900115451,0.9325972980871909,0.858820208679402,0.701692426964036,0.54678874162118,0.07326731411009939,0.09804527467142757,0.690522243713733,0.5618448637316562,0.000125
3,25,0.35430492609739306,0.5381567454338074,0.8359448426325773,0.9327594177132591,0.86004010070598,0.698821544807945,0.5517145123256798,0.07335494360044705,0.09638103229361089,0.6829971181556196,0.5501066098081023,0.000125
4,1,0.6470695233345032,0.5518604850769043,0.8031141249220537,0.7216499122813409,0.8324951982973422,0.3086142838508751,0.4219988205830626,0.1347645952845964,0.1175242935011542,0.2891891891891892,0.44715447154471544,0.0005
